Form Name,Frontend Field,FE Type,FE Required,FE Validation,Endpoint,HTTP Method,Backend Field,BE Type,BE Required,BE Validation,Enum/Format,Status,Notes
ApplicationForm - Student,firstName,string,Yes,min 2 chars,POST /api/applications,POST,firstName,string,Yes,min 2 chars,N/A,FIT,Perfect alignment
ApplicationForm - Student,paternalLastName,string,Yes,min 2 chars,POST /api/applications,POST,paternalLastName,string,No (fallback to lastName),None,N/A,MISMATCH,Backend allows null with fallback - frontend requires it
ApplicationForm - Student,maternalLastName,string,Yes,min 2 chars,POST /api/applications,POST,maternalLastName,string,No (fallback to lastName),None,N/A,MISMATCH,Backend allows null with fallback - frontend requires it
ApplicationForm - Student,rut,string,Yes,RUT validation,POST /api/applications,POST,rut,string,Yes,RUT format validation,Chilean RUT format,FIT,Both validate RUT format
ApplicationForm - Student,birthDate,string,Yes,date validation,POST /api/applications,POST,birthDate,string,No (default 2010-01-01),Date validation,ISO 8601 date,MISMATCH,Backend has default fallback - frontend requires it
ApplicationForm - Student,studentEmail,string,No,email format,POST /api/applications,POST,studentEmail OR email,string,No,email format,email format,FIT,Optional on both sides
ApplicationForm - Student,studentAddress,string,Yes,min 5 chars,POST /api/applications,POST,studentAddress OR address,string,No,None,N/A,MISMATCH,Frontend requires - backend allows null
ApplicationForm - Student,grade,string,Yes,grade enum,POST /api/applications,POST,grade (mapped to grade_applied),string,Yes,grade enum validation,Grade levels,FIT,Field name mapping works correctly
ApplicationForm - Student,schoolApplied,string,Yes,MONTE_TABOR | NAZARET,POST /api/applications,POST,schoolApplied (mapped to school_applied),string,No (default MONTE_TABOR),None,MONTE_TABOR | NAZARET,MISMATCH,Frontend requires - backend has default
ApplicationForm - Student,currentSchool,string,Conditional,min 2 chars (grades 2+),POST /api/applications,POST,currentSchool (mapped to current_school),string,No,None,N/A,FIT,Conditional logic handled on frontend only
ApplicationForm - Student,additionalNotes,string,No,max 1000 chars,POST /api/applications,POST,additionalNotes (mapped to additional_notes),string,No,max 1000 chars sanitized,N/A,FIT,Both allow optional notes
ApplicationForm - Student,applicationYear,string,Yes,must be currentYear + 1,POST /api/applications,POST,applicationYear (mapped to application_year),integer,Yes,must be currentYear + 1,year format,FIT,Strong validation on both sides
